// Detail texture map file for de_prodigy level
// [texture name]	[detail texture name]		[hscale]	[vscale]

!waterblue		detail/dt_snow2			10.0		10.0
{arrow2c		detail/dt_metal1		10.0		10.0
{arrow2d		detail/dt_metal1		10.0		10.0
{cstrike_oe4ven		detail/dt_metal1		10.0		10.0
{ladder			detail/dt_metal1		10.0		10.0
{rail1c			detail/dt_metal1		10.0		10.0
{siteA			detail/dt_smooth1		10.0		10.0
{siteB			detail/dt_smooth1		10.0		10.0
{target			detail/dt_ground2		10.0		10.0
~lab1_comp3e		detail/dt_metal2		10.0		10.0
~lab1_comp3f		detail/dt_metal2		10.0		10.0
~lab_crt11a		detail/dt_metal2		10.0		10.0
~lab_crt2		detail/dt_metal2		10.0		10.0
~light3a		detail/dt_metal2		10.0		10.0
~light3c		detail/dt_metal2		10.0		10.0
~spotyellow		detail/dt_metal2		10.0		10.0
~trn_lt1		detail/dt_metal2		10.0		10.0
+0~fifties_lgt2		detail/dt_metal2		10.0		10.0
+0~fifts_lght01		detail/dt_metal2		10.0		10.0
+0~lab_crt7		detail/dt_metal2		10.0		10.0
+0~light2a		detail/dt_metal2		10.0		10.0
+0~tnnl_lgt2		detail/dt_metal2		10.0		10.0
+0~tnnl_lgt3		detail/dt_metal2		10.0		10.0
+a~fifties_lgt2		detail/dt_metal2		10.0		10.0
+a~fifts_lght5		detail/dt_metal2		10.0		10.0
+atnnl_gad2		detail/dt_metal2		10.0		10.0
aaatrigger		detail/dt_smooth1		10.0		10.0
basetrim02		detail/dt_metal1		10.0		10.0
black			detail/dt_smooth1		10.0		10.0
brdly_back1		detail/dt_metal1		10.0		10.0
brdly_btile1		detail/dt_metal1		10.0		10.0
brdly_frnt1		detail/dt_metal1		10.0		10.0
brdly_side1		detail/dt_metal1		10.0		10.0
brdly_top1		detail/dt_metal1		10.0		10.0
c1a0_labglu		detail/dt_metal1		10.0		10.0
c1a0_wx			detail/dt_metal1		10.0		10.0
c1a1_sign1		detail/dt_metal2		10.0		10.0
c1a1_trim2		detail/dt_metal2		10.0		10.0
